experiment_name,split_ratio,optimizer,mse,rmse,mae,winner_accuracy,total_mae,margin_mae
mlp_adam_80_10_10,"(0.8, 0.1, 0.1)",adam,117.36539459228516,10.833531030660556,8.55943775177002,0.7246279886306638,13.822545051574707,9.896392822265625
mlp_adamw_80_10_10,"(0.8, 0.1, 0.1)",adamw,118.60147094726562,10.890430246196228,8.569873809814453,0.7259655575990637,13.819662094116211,9.957498550415039
mlp_adamw_70_15_15,"(0.7, 0.15, 0.15)",adamw,119.09806823730469,10.913206139228961,8.603228569030762,0.727678073793334,13.858077049255371,9.985310554504395
mlp_adam_70_15_15,"(0.7, 0.15, 0.15)",adam,119.47160339355469,10.930306646821702,8.629316329956055,0.7246683758778285,13.76287841796875,10.1170015335083
baseline_record_70_15_15,"(0.7, 0.15, 0.15)",baseline_record,173.7145538330078,13.18008170813094,10.218865394592285,0.6619106008248802,15.979933738708496,12.328052520751953
baseline_record_80_10_10,"(0.8, 0.1, 0.1)",baseline_record,176.14862060546875,13.27209932924964,10.268189430236816,0.6676977094131417,16.209917068481445,12.221803665161133
baseline_random_70_15_15,"(0.7, 0.15, 0.15)",baseline_random,340.92791748046875,18.464233465824375,14.582571983337402,0.5419128302307435,21.51504898071289,19.612918853759766
baseline_random_80_10_10,"(0.8, 0.1, 0.1)",baseline_random,348.7767028808594,18.67556432563309,14.74092960357666,0.5380371175388731,21.79083824157715,19.77963638305664
mlp_sgd_80_10_10,"(0.8, 0.1, 0.1)",sgd,,,,0.35361979602073235,,
mlp_sgd_70_15_15,"(0.7, 0.15, 0.15)",sgd,,,,0.3490134879054732,,
