experiment_name,split_ratio,optimizer,mse,rmse,mae,winner_accuracy,total_mae,margin_mae
mlp_adam_70_15_15,"(0.7, 0.15, 0.15)",adam,116.9915542602539,10.816263414888429,8.543279647827148,0.7280124846728346,13.81094741821289,9.839268684387207
mlp_adam_80_10_10,"(0.8, 0.1, 0.1)",adam,117.0927963256836,10.820942487865075,8.53634262084961,0.7266343420832637,13.852434158325195,9.786982536315918
mlp_sgd_80_10_10,"(0.8, 0.1, 0.1)",sgd,118.39178466796875,10.880798898425095,8.574739456176758,0.7234576157833138,13.652636528015137,10.123300552368164
mlp_sgd_70_15_15,"(0.7, 0.15, 0.15)",sgd,118.59503936767578,10.890134956357326,8.596839904785156,0.7250585219039126,13.595956802368164,10.235422134399414
mlp_adamw_80_10_10,"(0.8, 0.1, 0.1)",adamw,118.77603912353516,10.898442050290269,8.583466529846191,0.7283063032937636,13.767148971557617,10.03169059753418
mlp_adamw_70_15_15,"(0.7, 0.15, 0.15)",adamw,120.19426727294922,10.96331461160124,8.635221481323242,0.7286813064318359,13.968802452087402,9.966941833496094
baseline_record_70_15_15,"(0.7, 0.15, 0.15)",baseline_record,173.7145538330078,13.18008170813094,10.218865394592285,0.6619106008248802,15.979933738708496,12.328052520751953
baseline_record_80_10_10,"(0.8, 0.1, 0.1)",baseline_record,176.14862060546875,13.27209932924964,10.268189430236816,0.6676977094131417,16.209917068481445,12.221803665161133
baseline_random_70_15_15,"(0.7, 0.15, 0.15)",baseline_random,340.92791748046875,18.464233465824375,14.582571983337402,0.5419128302307435,21.51504898071289,19.612918853759766
baseline_random_80_10_10,"(0.8, 0.1, 0.1)",baseline_random,348.7767028808594,18.67556432563309,14.74092960357666,0.5380371175388731,21.79083824157715,19.77963638305664
